Event Rate: [0.88, 0.49, 0.31, 0.12, 0.12, 0.13, 0.14, 0.17, 0.18, 0.20, 0.50, 0.53]
Event Rate: [0.88, 0.49, 0.31, 0.12, 0.12, 0.13, 0.14, 0.17, 0.18, 0.20, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.32, 0.12, 0.12, 0.13, 0.14, 0.17, 0.17, 0.19, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.32, 0.12, 0.12, 0.13, 0.14, 0.17, 0.18, 0.20, 0.50, 0.53]
Event Rate: [0.89, 0.49, 0.32, 0.12, 0.11, 0.13, 0.14, 0.16, 0.17, 0.19, 0.50, 0.53]
Event Rate: [0.89, 0.49, 0.32, 0.12, 0.12, 0.13, 0.15, 0.17, 0.18, 0.20, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.32, 0.12, 0.12, 0.13, 0.15, 0.17, 0.18, 0.21, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.32, 0.12, 0.12, 0.14, 0.15, 0.18, 0.19, 0.21, 0.50, 0.54]
Event Rate: [0.89, 0.51, 0.33, 0.12, 0.12, 0.14, 0.15, 0.18, 0.19, 0.21, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.33, 0.12, 0.13, 0.14, 0.16, 0.19, 0.20, 0.23, 0.50, 0.53]
Event Rate: [0.87, 0.48, 0.32, 0.12, 0.13, 0.14, 0.16, 0.19, 0.20, 0.23, 0.50, 0.53]
Event Rate: [0.88, 0.50, 0.33, 0.13, 0.14, 0.15, 0.18, 0.21, 0.23, 0.26, 0.50, 0.53]
Event Rate: [0.88, 0.49, 0.32, 0.12, 0.13, 0.15, 0.18, 0.22, 0.23, 0.27, 0.50, 0.53]
Event Rate: [0.89, 0.49, 0.32, 0.13, 0.14, 0.17, 0.19, 0.23, 0.26, 0.30, 0.50, 0.53]
Event Rate: [0.89, 0.49, 0.32, 0.13, 0.14, 0.17, 0.20, 0.24, 0.26, 0.31, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.31, 0.13, 0.14, 0.17, 0.20, 0.25, 0.27, 0.32, 0.50, 0.52]
Event Rate: [0.89, 0.50, 0.33, 0.14, 0.15, 0.18, 0.22, 0.27, 0.29, 0.34, 0.50, 0.52]
Event Rate: [0.89, 0.50, 0.33, 0.15, 0.16, 0.19, 0.24, 0.29, 0.32, 0.37, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.32, 0.14, 0.16, 0.19, 0.23, 0.29, 0.32, 0.37, 0.50, 0.52]
Event Rate: [0.89, 0.49, 0.33, 0.15, 0.17, 0.20, 0.25, 0.31, 0.34, 0.39, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.32, 0.15, 0.17, 0.20, 0.25, 0.31, 0.34, 0.39, 0.50, 0.52]
Event Rate: [0.89, 0.50, 0.33, 0.16, 0.18, 0.22, 0.27, 0.33, 0.36, 0.41, 0.50, 0.53]
Event Rate: [0.89, 0.50, 0.34, 0.17, 0.18, 0.22, 0.27, 0.34, 0.37, 0.42, 0.50, 0.54]
Event Rate: [0.89, 0.50, 0.34, 0.17, 0.19, 0.23, 0.28, 0.34, 0.37, 0.42, 0.50, 0.53]
Event Rate: [0.88, 0.49, 0.33, 0.16, 0.18, 0.23, 0.28, 0.34, 0.37, 0.42, 0.50, 0.53]
Event Rate: [0.88, 0.48, 0.32, 0.15, 0.17, 0.21, 0.27, 0.33, 0.36, 0.41, 0.50, 0.53]
Event Rate: [0.88, 0.50, 0.34, 0.16, 0.18, 0.21, 0.26, 0.33, 0.35, 0.40, 0.50, 0.53]
Event Rate: [0.89, 0.51, 0.34, 0.16, 0.18, 0.22, 0.27, 0.34, 0.37, 0.42, 0.50, 0.53]
Event Rate: [0.89, 0.49, 0.33, 0.15, 0.17, 0.21, 0.26, 0.33, 0.36, 0.40, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.33, 0.15, 0.17, 0.21, 0.26, 0.32, 0.35, 0.40, 0.50, 0.52]
Event Rate: [0.89, 0.50, 0.32, 0.15, 0.17, 0.21, 0.25, 0.32, 0.35, 0.39, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.33, 0.15, 0.17, 0.20, 0.25, 0.31, 0.34, 0.39, 0.50, 0.53]
Event Rate: [0.88, 0.49, 0.32, 0.15, 0.17, 0.20, 0.25, 0.31, 0.34, 0.39, 0.50, 0.52]
Event Rate: [0.88, 0.49, 0.33, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.03, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.32, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.03, 0.00, 0.52, 0.41, 0.41]
Event Rate: [0.90, 0.47, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.45, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.46, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.50, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.47, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.50, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.90, 0.50, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.47, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.87, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.48, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.47, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.48, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.88, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
Event Rate: [0.89, 0.49, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
