# Train        Test        
   79.599682    75.752014 
   77.939296    78.790550 
   79.316157    82.023972 
   81.216019    80.492317 
   80.974293    77.172432 
   83.282529    84.136688 
   82.481641    87.685234 
   83.780013    85.927216 
   86.095114    81.911568 
   87.800109    84.926033 
   87.867298    90.201393 
   89.467033    89.290382 
   90.310265    90.025108 
   90.824954    87.531776 
   88.624396    86.025169 
   88.266493    86.560760 
   88.504988    87.844872 
   88.790833    85.723465 
   85.001035    84.848465 
   83.480710    82.462730 
   81.663752    79.529396 
   79.769789    79.847519 
   79.162730    85.176224 
   79.398056    77.868675 
   79.615149    85.837692 
   80.228166    82.210930 
   79.973330    81.182434 
   81.778670    83.841286 
   84.671569    85.838547 
   83.805658    89.347046 
   86.896149    85.818275 
   86.027820    89.935028 
   88.128638    86.974487 
   88.291392    89.141350 
