Event Rate: [0.89, 0.42, 0.29, 0.13, 0.14, 0.16, 0.19, 0.22, 0.23, 0.26, 0.50, 0.52]
Event Rate: [0.88, 0.41, 0.29, 0.13, 0.14, 0.16, 0.19, 0.22, 0.23, 0.26, 0.50, 0.51]
Event Rate: [0.89, 0.42, 0.29, 0.13, 0.15, 0.16, 0.19, 0.22, 0.24, 0.27, 0.50, 0.51]
Event Rate: [0.88, 0.41, 0.29, 0.14, 0.14, 0.16, 0.19, 0.22, 0.23, 0.26, 0.50, 0.52]
Event Rate: [0.89, 0.42, 0.30, 0.13, 0.15, 0.16, 0.19, 0.22, 0.23, 0.26, 0.50, 0.52]
Event Rate: [0.89, 0.42, 0.30, 0.14, 0.15, 0.16, 0.19, 0.22, 0.24, 0.27, 0.50, 0.52]
Event Rate: [0.88, 0.41, 0.29, 0.13, 0.15, 0.16, 0.19, 0.22, 0.23, 0.26, 0.50, 0.52]
Event Rate: [0.88, 0.41, 0.29, 0.13, 0.14, 0.16, 0.19, 0.22, 0.24, 0.27, 0.50, 0.52]
Event Rate: [0.88, 0.42, 0.30, 0.14, 0.15, 0.17, 0.20, 0.23, 0.25, 0.28, 0.50, 0.52]
Event Rate: [0.88, 0.42, 0.29, 0.14, 0.15, 0.17, 0.20, 0.23, 0.25, 0.29, 0.50, 0.51]
Event Rate: [0.89, 0.43, 0.30, 0.14, 0.15, 0.18, 0.21, 0.25, 0.27, 0.30, 0.50, 0.50]
Event Rate: [0.89, 0.47, 0.27, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.45, 0.50]
Event Rate: [0.89, 0.48, 0.28, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.45, 0.50]
Event Rate: [0.89, 0.48, 0.29, 0.05, 0.04, 0.03, 0.03, 0.04, 0.04, 0.05, 0.42, 0.49]
Event Rate: [0.88, 0.47, 0.28, 0.05, 0.04, 0.03, 0.04, 0.04, 0.05, 0.05, 0.43, 0.52]
Event Rate: [0.85, 0.47, 0.28, 0.05, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.47, 0.48]
Event Rate: [0.85, 0.46, 0.27, 0.05, 0.04, 0.03, 0.04, 0.04, 0.05, 0.06, 0.46, 0.49]
Event Rate: [0.86, 0.47, 0.28, 0.05, 0.04, 0.03, 0.03, 0.04, 0.04, 0.05, 0.45, 0.52]
Event Rate: [0.85, 0.47, 0.28, 0.05, 0.04, 0.03, 0.04, 0.04, 0.04, 0.05, 0.42, 0.51]
Event Rate: [0.86, 0.48, 0.29, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.43, 0.49]
Event Rate: [0.85, 0.46, 0.28, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.44, 0.53]
Event Rate: [0.86, 0.48, 0.28, 0.05, 0.04, 0.03, 0.04, 0.04, 0.04, 0.05, 0.42, 0.52]
Event Rate: [0.86, 0.48, 0.28, 0.05, 0.04, 0.03, 0.03, 0.04, 0.04, 0.05, 0.43, 0.50]
Event Rate: [0.85, 0.47, 0.28, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.46, 0.51]
Event Rate: [0.85, 0.47, 0.28, 0.05, 0.04, 0.03, 0.03, 0.04, 0.04, 0.05, 0.42, 0.48]
Event Rate: [0.85, 0.46, 0.28, 0.05, 0.04, 0.04, 0.04, 0.05, 0.05, 0.06, 0.45, 0.50]
Event Rate: [0.86, 0.47, 0.28, 0.05, 0.04, 0.03, 0.04, 0.04, 0.04, 0.05, 0.44, 0.50]
Event Rate: [0.85, 0.46, 0.27, 0.05, 0.04, 0.03, 0.03, 0.04, 0.04, 0.05, 0.44, 0.50]
Event Rate: [0.84, 0.44, 0.27, 0.05, 0.04, 0.03, 0.04, 0.04, 0.05, 0.06, 0.46, 0.51]
Event Rate: [0.85, 0.47, 0.28, 0.06, 0.04, 0.04, 0.04, 0.05, 0.06, 0.07, 0.48, 0.51]
Event Rate: [0.85, 0.47, 0.29, 0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.06, 0.46, 0.51]
Event Rate: [0.89, 0.51, 0.33, 0.15, 0.14, 0.15, 0.16, 0.17, 0.19, 0.20, 0.50, 0.45]
Event Rate: [0.88, 0.51, 0.33, 0.14, 0.14, 0.14, 0.15, 0.17, 0.18, 0.20, 0.50, 0.45]
Event Rate: [0.88, 0.51, 0.33, 0.15, 0.14, 0.15, 0.16, 0.17, 0.18, 0.20, 0.50, 0.45]
Event Rate: [0.88, 0.50, 0.32, 0.14, 0.14, 0.14, 0.15, 0.17, 0.18, 0.20, 0.50, 0.45]
Event Rate: [0.89, 0.51, 0.33, 0.14, 0.14, 0.15, 0.16, 0.17, 0.18, 0.20, 0.50, 0.44]
