Event Rate: [0.89, 0.48, 0.32, 0.09, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.50, 0.48]
Event Rate: [0.90, 0.47, 0.32, 0.10, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.32, 0.10, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.50, 0.46]
Event Rate: [0.89, 0.47, 0.32, 0.09, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.50, 0.48]
Event Rate: [0.88, 0.46, 0.31, 0.09, 0.09, 0.09, 0.07, 0.07, 0.08, 0.08, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.32, 0.09, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.50, 0.47]
Event Rate: [0.89, 0.49, 0.33, 0.10, 0.10, 0.09, 0.08, 0.07, 0.08, 0.08, 0.50, 0.48]
Event Rate: [0.89, 0.47, 0.32, 0.10, 0.09, 0.09, 0.07, 0.07, 0.08, 0.07, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.32, 0.10, 0.09, 0.09, 0.08, 0.07, 0.08, 0.08, 0.50, 0.47]
Event Rate: [0.88, 0.47, 0.32, 0.10, 0.09, 0.09, 0.08, 0.08, 0.08, 0.08, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.32, 0.10, 0.10, 0.09, 0.08, 0.08, 0.08, 0.08, 0.50, 0.47]
Event Rate: [0.90, 0.49, 0.33, 0.10, 0.10, 0.09, 0.08, 0.08, 0.09, 0.08, 0.50, 0.48]
Event Rate: [0.90, 0.48, 0.33, 0.10, 0.10, 0.10, 0.08, 0.08, 0.09, 0.09, 0.50, 0.48]
Event Rate: [0.89, 0.47, 0.32, 0.10, 0.10, 0.09, 0.08, 0.08, 0.09, 0.09, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.32, 0.10, 0.11, 0.10, 0.09, 0.09, 0.10, 0.10, 0.50, 0.48]
Event Rate: [0.88, 0.47, 0.32, 0.11, 0.11, 0.11, 0.10, 0.11, 0.12, 0.12, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.33, 0.11, 0.12, 0.12, 0.11, 0.12, 0.13, 0.13, 0.50, 0.47]
Event Rate: [0.89, 0.46, 0.31, 0.10, 0.11, 0.11, 0.11, 0.12, 0.13, 0.13, 0.50, 0.48]
Event Rate: [0.88, 0.47, 0.32, 0.11, 0.12, 0.13, 0.12, 0.13, 0.15, 0.16, 0.50, 0.47]
Event Rate: [0.88, 0.46, 0.31, 0.12, 0.13, 0.14, 0.13, 0.15, 0.16, 0.18, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.33, 0.13, 0.14, 0.15, 0.14, 0.16, 0.17, 0.20, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.33, 0.12, 0.14, 0.15, 0.15, 0.17, 0.19, 0.21, 0.50, 0.46]
Event Rate: [0.89, 0.48, 0.34, 0.13, 0.15, 0.16, 0.16, 0.19, 0.20, 0.24, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.33, 0.13, 0.15, 0.16, 0.17, 0.20, 0.22, 0.27, 0.50, 0.46]
Event Rate: [0.89, 0.48, 0.33, 0.13, 0.16, 0.17, 0.18, 0.21, 0.24, 0.28, 0.50, 0.47]
Event Rate: [0.90, 0.48, 0.34, 0.14, 0.16, 0.18, 0.19, 0.23, 0.25, 0.31, 0.50, 0.47]
Event Rate: [0.88, 0.47, 0.33, 0.14, 0.16, 0.19, 0.19, 0.24, 0.26, 0.32, 0.50, 0.47]
Event Rate: [0.89, 0.49, 0.35, 0.15, 0.18, 0.20, 0.21, 0.26, 0.28, 0.35, 0.50, 0.46]
Event Rate: [0.89, 0.48, 0.34, 0.15, 0.18, 0.21, 0.22, 0.27, 0.30, 0.36, 0.50, 0.46]
Event Rate: [0.88, 0.48, 0.33, 0.14, 0.18, 0.20, 0.21, 0.27, 0.29, 0.36, 0.50, 0.46]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.18, 0.21, 0.22, 0.28, 0.30, 0.37, 0.50, 0.45]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.19, 0.23, 0.24, 0.29, 0.32, 0.39, 0.50, 0.45]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.19, 0.23, 0.24, 0.30, 0.32, 0.39, 0.50, 0.45]
Event Rate: [0.90, 0.49, 0.36, 0.17, 0.20, 0.24, 0.25, 0.31, 0.33, 0.41, 0.50, 0.45]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.20, 0.23, 0.25, 0.30, 0.33, 0.40, 0.50, 0.46]
Event Rate: [0.90, 0.48, 0.36, 0.17, 0.20, 0.24, 0.25, 0.31, 0.33, 0.40, 0.50, 0.46]
Event Rate: [0.89, 0.47, 0.34, 0.16, 0.20, 0.23, 0.25, 0.31, 0.33, 0.40, 0.49, 0.46]
Event Rate: [0.90, 0.48, 0.35, 0.16, 0.20, 0.23, 0.24, 0.29, 0.32, 0.39, 0.50, 0.47]
Event Rate: [0.89, 0.49, 0.36, 0.17, 0.20, 0.23, 0.24, 0.29, 0.32, 0.39, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.20, 0.23, 0.24, 0.29, 0.32, 0.38, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.19, 0.22, 0.23, 0.28, 0.31, 0.37, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.18, 0.21, 0.22, 0.27, 0.29, 0.35, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.19, 0.21, 0.22, 0.27, 0.30, 0.36, 0.50, 0.47]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.19, 0.22, 0.23, 0.28, 0.30, 0.36, 0.50, 0.48]
Event Rate: [0.90, 0.49, 0.36, 0.16, 0.19, 0.22, 0.23, 0.27, 0.30, 0.36, 0.50, 0.48]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.19, 0.21, 0.22, 0.27, 0.30, 0.36, 0.50, 0.48]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.19, 0.22, 0.22, 0.27, 0.30, 0.36, 0.50, 0.48]
Event Rate: [0.90, 0.48, 0.35, 0.16, 0.19, 0.22, 0.23, 0.27, 0.30, 0.36, 0.50, 0.48]
Event Rate: [0.89, 0.48, 0.35, 0.16, 0.19, 0.22, 0.23, 0.28, 0.31, 0.37, 0.50, 0.48]
Event Rate: [0.89, 0.47, 0.34, 0.15, 0.19, 0.21, 0.22, 0.27, 0.29, 0.35, 0.50, 0.47]
Event Rate: [0.90, 0.48, 0.36, 0.17, 0.20, 0.23, 0.24, 0.29, 0.31, 0.37, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.36, 0.16, 0.20, 0.23, 0.24, 0.29, 0.32, 0.38, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.36, 0.17, 0.20, 0.24, 0.25, 0.30, 0.32, 0.38, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.36, 0.17, 0.20, 0.23, 0.24, 0.29, 0.31, 0.37, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.36, 0.17, 0.21, 0.24, 0.25, 0.31, 0.33, 0.40, 0.50, 0.47]
Event Rate: [0.89, 0.48, 0.36, 0.17, 0.21, 0.24, 0.25, 0.30, 0.33, 0.39, 0.50, 0.46]
Event Rate: [0.45, 0.32, 0.18, 0.21, 0.25, 0.28, 0.33, 0.35, 0.38, 0.49, 0.47]
Event Rate: [0.45, 0.33, 0.19, 0.21, 0.25, 0.28, 0.33, 0.35, 0.38, 0.49, 0.47]
Event Rate: [0.45, 0.32, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.38, 0.49, 0.47]
Event Rate: [0.45, 0.33, 0.19, 0.21, 0.25, 0.28, 0.33, 0.35, 0.38, 0.49, 0.47]
Event Rate: [0.45, 0.32, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.37, 0.49, 0.47]
Event Rate: [0.46, 0.33, 0.19, 0.22, 0.26, 0.29, 0.33, 0.35, 0.38, 0.49, 0.46]
Event Rate: [0.45, 0.33, 0.19, 0.21, 0.25, 0.28, 0.33, 0.35, 0.38, 0.49, 0.47]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.24, 0.28, 0.32, 0.34, 0.37, 0.49, 0.47]
Event Rate: [0.46, 0.33, 0.19, 0.22, 0.25, 0.29, 0.33, 0.35, 0.38, 0.49, 0.46]
Event Rate: [0.47, 0.33, 0.19, 0.21, 0.25, 0.28, 0.33, 0.35, 0.38, 0.49, 0.46]
Event Rate: [0.46, 0.33, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.37, 0.49, 0.46]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.37, 0.49, 0.47]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.37, 0.49, 0.47]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.24, 0.28, 0.32, 0.35, 0.37, 0.48, 0.48]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.25, 0.28, 0.32, 0.35, 0.37, 0.48, 0.48]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.24, 0.28, 0.32, 0.35, 0.37, 0.48, 0.48]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.24, 0.27, 0.32, 0.34, 0.37, 0.48, 0.48]
Event Rate: [0.46, 0.32, 0.18, 0.21, 0.24, 0.27, 0.32, 0.35, 0.37, 0.48, 0.47]
Event Rate: [0.46, 0.32, 0.18, 0.20, 0.24, 0.27, 0.32, 0.34, 0.37, 0.48, 0.47]
Event Rate: [0.46, 0.32, 0.18, 0.20, 0.24, 0.27, 0.32, 0.35, 0.37, 0.48, 0.46]
Event Rate: [0.46, 0.32, 0.17, 0.20, 0.24, 0.27, 0.31, 0.34, 0.36, 0.48, 0.46]
Event Rate: [0.46, 0.32, 0.17, 0.20, 0.23, 0.27, 0.31, 0.34, 0.36, 0.49, 0.46]
Event Rate: [0.46, 0.32, 0.17, 0.20, 0.24, 0.27, 0.31, 0.34, 0.36, 0.49, 0.46]
Event Rate: [0.46, 0.31, 0.17, 0.20, 0.24, 0.27, 0.31, 0.34, 0.36, 0.48, 0.46]
Event Rate: [0.45, 0.31, 0.17, 0.19, 0.23, 0.26, 0.31, 0.33, 0.35, 0.49, 0.46]
Event Rate: [0.45, 0.32, 0.17, 0.20, 0.23, 0.27, 0.31, 0.34, 0.35, 0.48, 0.45]
Event Rate: [0.45, 0.31, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.45]
Event Rate: [0.45, 0.32, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.44]
Event Rate: [0.45, 0.32, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.44]
Event Rate: [0.45, 0.32, 0.17, 0.20, 0.23, 0.26, 0.31, 0.33, 0.35, 0.49, 0.44]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.26, 0.30, 0.33, 0.34, 0.49, 0.45]
Event Rate: [0.45, 0.32, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.45]
Event Rate: [0.46, 0.31, 0.17, 0.19, 0.23, 0.26, 0.30, 0.33, 0.35, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.44]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.44]
Event Rate: [0.46, 0.32, 0.17, 0.19, 0.22, 0.26, 0.30, 0.33, 0.34, 0.49, 0.44]
Event Rate: [0.46, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.44]
Event Rate: [0.46, 0.32, 0.16, 0.19, 0.22, 0.26, 0.30, 0.32, 0.34, 0.49, 0.44]
Event Rate: [0.46, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.45]
Event Rate: [0.46, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.33, 0.50, 0.45]
Event Rate: [0.46, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.33, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.15, 0.18, 0.21, 0.25, 0.28, 0.31, 0.33, 0.49, 0.45]
Event Rate: [0.45, 0.31, 0.16, 0.19, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.45]
Event Rate: [0.46, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.33, 0.49, 0.46]
Event Rate: [0.45, 0.31, 0.16, 0.18, 0.21, 0.25, 0.29, 0.31, 0.33, 0.49, 0.46]
Event Rate: [0.45, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.31, 0.33, 0.49, 0.46]
Event Rate: [0.45, 0.31, 0.16, 0.18, 0.21, 0.25, 0.28, 0.31, 0.33, 0.49, 0.47]
Event Rate: [0.45, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.33, 0.49, 0.46]
Event Rate: [0.44, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.32, 0.34, 0.49, 0.47]
Event Rate: [0.44, 0.31, 0.16, 0.18, 0.22, 0.25, 0.29, 0.31, 0.33, 0.49, 0.47]
Event Rate: [0.44, 0.33, 0.22, 0.26, 0.29, 0.32, 0.37, 0.41, 0.42, 0.50, 0.54]
Event Rate: [0.45, 0.33, 0.22, 0.25, 0.28, 0.31, 0.36, 0.40, 0.41, 0.50, 0.55]
Event Rate: [0.44, 0.32, 0.21, 0.24, 0.28, 0.31, 0.35, 0.40, 0.41, 0.50, 0.54]
Event Rate: [0.44, 0.33, 0.22, 0.25, 0.28, 0.31, 0.36, 0.40, 0.41, 0.50, 0.55]
Event Rate: [0.44, 0.31, 0.20, 0.24, 0.27, 0.30, 0.35, 0.39, 0.40, 0.50, 0.55]
