# Train        Test        
   81.536507    85.716003 
   81.479909    84.276543 
   80.960305    80.033257 
   81.332154    81.911194 
   81.698762    83.947601 
   82.752222    83.652740 
   82.222486    79.051460 
   83.444612    81.472702 
   86.018815    88.144333 
   88.273565    86.756691 
   87.246107    88.627625 
   88.143900    83.245522 
   88.990205    90.157883 
   89.054698    87.113922 
   88.070562    86.166145 
   86.577599    84.143074 
   89.172871    87.591866 
   87.380847    85.121323 
   84.886053    82.687843 
   83.849725    79.150681 
   81.585737    80.702919 
   80.744979    84.068390 
   80.066298    81.410858 
   80.551567    86.608910 
   80.944708    82.318504 
   80.068194    83.842850 
   80.981414    81.140617 
   81.285003    81.888039 
   81.717222    79.577583 
   84.176068    88.038010 
   86.276797    83.053215 
   87.394670    87.920540 
   87.638122    90.483315 
   89.669035    92.223953 
