Event Rate: [0.89, 0.12, 0.47, 0.72, 0.85, 0.54, 1.00, 1.00, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.09, 0.77, 0.00, 0.00, 0.05]
Event Rate: [0.89, 0.12, 0.49, 0.75, 0.87, 0.56, 1.00, 1.00, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.09, 0.77, 0.00, 0.00, 0.04]
Event Rate: [0.89, 0.12, 0.48, 0.74, 0.86, 0.55, 1.00, 1.00, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.09, 0.76, 0.00, 0.00, 0.04]
Event Rate: [0.88, 0.12, 0.49, 0.75, 0.87, 0.56, 1.00, 1.00, 0.06, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.09, 0.82, 0.00, 0.01, 0.08]
Event Rate: [0.89, 0.12, 0.48, 0.73, 0.85, 0.55, 1.00, 1.00, 0.06, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.09, 0.81, 0.00, 0.01, 0.10]
Event Rate: [0.89, 0.13, 0.50, 0.75, 0.87, 0.56, 1.00, 1.00, 0.07, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.10, 0.87, 0.00, 0.02, 0.11]
Event Rate: [0.85, 0.13, 0.48, 0.73, 0.86, 0.55, 1.00, 1.00, 0.08, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.10, 0.89, 0.00, 0.04, 0.17]
Event Rate: [0.85, 0.14, 0.50, 0.74, 0.86, 0.56, 1.00, 1.00, 0.09, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.11, 0.92, 0.00, 0.09, 0.26]
Event Rate: [0.85, 0.14, 0.50, 0.75, 0.86, 0.56, 1.00, 1.00, 0.10, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.11, 0.93, 0.00, 0.14, 0.29]
Event Rate: [0.85, 0.14, 0.49, 0.74, 0.86, 0.56, 1.00, 1.00, 0.12, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.11, 0.94, 0.01, 0.19, 0.34]
Event Rate: [0.87, 0.14, 0.50, 0.74, 0.86, 0.56, 1.00, 1.00, 0.14, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.12, 0.96, 0.01, 0.24, 0.45]
Event Rate: [0.85, 0.15, 0.51, 0.75, 0.86, 0.57, 1.00, 1.00, 0.16, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.08, 0.13, 0.96, 0.02, 0.32, 0.59]
Event Rate: [0.86, 0.15, 0.50, 0.74, 0.86, 0.56, 1.00, 1.00, 0.17, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.13, 0.97, 0.03, 0.50, 0.87]
